TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t58,60.0,58,25,307,30,51,e0
t59,61.0,59,19,653,40,70,e0
t60,63.0,60,31,365,40,63,e0
t61,63.0,61,27,905,30,75,e0
t62,64.0,62,91,632,20,54,e0
t63,65.0,63,16,472,20,91,e0
t64,66.0,64,57,343,40,47,e0
t65,67.0,65,37,655,10,73,e0
t66,67.0,66,66,613,20,26,e0
t67,69.0,67,97,711,40,97,e0
t68,70.0,68,26,448,20,27,e0
t69,71.0,69,29,715,20,67,e0
t70,71.0,70,40,503,40,54,e0
t71,72.0,71,19,576,10,97,e0
t72,72.0,72,12,537,30,52,e0
t73,73.0,73,99,556,20,58,e0
t74,73.0,74,67,903,20,35,e0
t75,75.0,75,51,193,40,63,e0
t76,75.0,76,64,767,40,50,e0
t77,77.0,77,75,621,10,42,e0
t78,79.0,78,48,357,10,74,e0
t79,81.0,79,15,498,40,47,e0
t80,82.0,80,53,256,10,86,e0
t81,86.0,81,23,430,30,64,e0
t82,88.0,82,16,553,20,77,e0
t83,88.0,83,95,248,30,56,e0
t84,89.0,84,36,883,40,68,e0
t85,91.0,85,34,174,20,58,e0
t86,93.0,86,62,165,40,100,e0
t87,94.0,87,63,140,20,81,e0
t88,94.0,88,66,123,20,43,e0
t89,96.0,89,70,564,20,98,e0
t90,96.0,90,81,694,40,99,e0
t91,100.0,91,49,286,10,73,e0
t92,100.0,92,37,191,40,80,e0
t93,101.0,93,58,238,20,84,e0
t94,102.0,94,37,269,10,41,e0
t95,102.0,95,96,191,40,100,e0
t96,102.0,96,56,827,40,27,e0
t97,103.0,97,56,307,30,99,e0
t98,104.0,98,31,269,30,84,e0
t99,105.0,99,46,539,30,76,e0
t100,106.0,100,58,999,20,53,e0
t101,107.0,101,41,762,10,31,e0
t102,108.0,102,46,983,40,99,e0
t103,110.0,103,37,685,10,28,e0
t104,112.0,104,13,114,20,80,e0
t105,113.0,105,69,713,40,63,e0
t106,115.0,106,43,532,30,31,e0
t107,116.0,107,65,723,30,33,e0
t108,117.0,108,28,757,10,49,e0
t109,117.0,109,15,662,10,54,e0
t110,117.0,110,34,150,30,61,e0
t111,117.0,111,98,149,10,91,e0
t112,118.0,112,99,580,40,63,e0
t113,120.0,113,29,490,10,60,e0
t114,121.0,114,31,578,30,82,e0
t115,121.0,115,55,548,30,54,e0
t116,121.0,116,88,933,40,95,e0
t117,125.0,117,47,186,10,29,e0
t118,128.0,118,16,873,30,93,e0
t119,128.0,119,11,395,20,75,e0
t120,130.0,120,26,932,30,65,e0
t121,130.0,121,31,805,10,35,e0
t122,131.0,122,17,535,10,25,e0
t123,131.0,123,82,437,20,51,e0
t124,132.0,124,15,971,10,83,e0
t125,134.0,125,14,588,20,24,e0
t126,136.0,126,75,318,30,78,e0
t127,137.0,127,65,293,10,63,e0
t128,138.0,128,56,577,10,73,e0
t129,141.0,129,75,955,10,29,e0
t130,141.0,130,36,905,20,81,e0
t131,142.0,131,66,850,30,69,e0
t132,145.0,132,62,228,20,99,e0
t133,146.0,133,24,816,40,61,e0
t134,149.0,134,29,834,40,43,e0
t135,149.0,135,49,719,10,56,e0
t136,150.0,136,68,562,20,22,e0
t137,150.0,137,44,625,10,92,e0
t138,151.0,138,48,620,10,44,e0
t139,152.0,139,12,140,20,53,e0
t140,153.0,140,39,177,20,22,e0
t141,155.0,141,30,516,30,64,e0
t142,159.0,142,63,777,10,90,e0
t143,159.0,143,41,293,20,83,e0
t144,159.0,144,71,986,10,40,e0
t145,159.0,145,18,246,20,64,e0
t146,160.0,146,53,979,40,96,e0
t147,160.0,147,57,574,20,36,e0
t148,161.0,148,81,757,30,60,e0
t149,161.0,149,23,701,40,69,e0
t150,162.0,150,33,672,30,63,e0
t151,164.0,151,72,739,10,48,e0
t152,164.0,152,38,414,20,94,e0
t153,164.0,153,94,598,10,86,e0
t154,166.0,154,36,936,40,68,e0
t155,167.0,155,34,999,40,29,e0
t156,167.0,156,86,917,30,60,e0
t157,168.0,157,90,167,40,57,e0
t158,168.0,158,67,654,40,42,e0
t159,169.0,159,24,377,10,86,e0
t160,169.0,160,17,793,40,21,e0
t161,170.0,161,61,225,30,74,e0
t162,172.0,162,64,358,10,71,e0
t163,172.0,163,65,919,30,26,e0
t164,175.0,164,70,101,10,78,e0
t165,176.0,165,79,635,30,95,e0
t166,176.0,166,49,141,10,36,e0
t167,180.0,167,35,982,30,85,e0
t168,183.0,168,42,283,10,64,e0
t169,183.0,169,20,126,20,87,e0
t170,185.0,170,35,806,40,47,e0
t171,185.0,171,10,981,30,77,e0
t172,188.0,172,16,501,10,61,e0
t173,188.0,173,92,122,20,31,e0
t174,189.0,174,96,211,20,33,e0
t175,192.0,175,100,766,30,67,e0
t176,193.0,176,13,918,10,31,e0
t177,195.0,177,94,388,20,94,e0
t178,195.0,178,57,556,30,94,e0
t179,195.0,179,39,629,40,86,e0
t180,195.0,180,55,481,10,57,e0
t181,201.0,181,20,915,30,26,e0
t182,203.0,182,24,152,40,69,e0
t183,203.0,183,66,994,20,76,e0
t184,210.0,184,16,353,10,70,e0
t185,210.0,185,37,271,40,46,e0
t186,210.0,186,12,669,40,35,e0
t187,211.0,187,95,220,20,78,e0
t188,211.0,188,44,826,10,26,e0
t189,212.0,189,86,271,40,29,e0
t190,214.0,190,14,478,30,73,e0
t191,216.0,191,35,860,30,83,e0
t192,217.0,192,84,924,10,37,e0
t193,217.0,193,32,230,30,42,e0
t194,218.0,194,44,369,10,26,e0
t195,220.0,195,86,670,20,78,e0
t196,220.0,196,30,447,20,82,e0
t197,224.0,197,74,605,10,79,e0
t198,224.0,198,79,233,40,40,e0
t199,225.0,199,97,594,10,31,e0
t200,226.0,200,14,894,30,30,e0
t201,226.0,201,63,956,30,39,e0
t202,227.0,202,48,512,10,60,e0
t203,228.0,203,12,566,40,90,e0
t204,229.0,204,68,222,20,23,e0
t205,229.0,205,67,183,10,95,e0
t206,231.0,206,31,292,40,91,e0
t207,232.0,207,41,503,20,40,e0
t208,232.0,208,45,163,10,85,e0
t209,233.0,209,53,321,30,23,e0
t210,233.0,210,54,581,10,54,e0
t211,233.0,211,23,252,30,28,e0
t212,234.0,212,61,613,10,87,e0
t213,235.0,213,23,941,10,44,e0
t214,236.0,214,34,490,10,89,e0
t215,237.0,215,83,814,10,53,e0
t216,238.0,216,56,763,30,50,e0
t217,238.0,217,56,462,40,91,e0
t218,238.0,218,50,649,10,37,e0
t219,238.0,219,53,964,10,82,e0
t220,239.0,220,58,911,30,48,e0
t221,239.0,221,58,894,30,64,e0
t222,240.0,222,71,253,10,98,e0
t223,243.0,223,31,452,30,21,e0
t224,244.0,224,26,533,40,68,e0
t225,246.0,225,22,815,30,78,e0
t226,246.0,226,86,548,10,20,e0
t227,247.0,227,72,835,30,93,e0
t228,248.0,228,59,122,30,82,e0
t229,248.0,229,92,722,20,41,e0
t230,249.0,230,79,202,30,36,e0
t231,250.0,231,67,646,10,62,e0
t232,256.0,232,68,737,40,66,e0
t233,261.0,233,18,310,40,87,e0
t234,263.0,234,21,812,20,76,e0
t235,264.0,235,22,914,30,70,e0
t236,264.0,236,75,123,10,66,e0
t237,264.0,237,37,457,20,22,e0
t238,264.0,238,19,450,40,77,e0
t239,265.0,239,61,720,20,27,e0
t240,267.0,240,57,216,40,25,e0
t241,268.0,241,91,936,20,90,e0
t242,268.0,242,81,804,20,79,e0
t243,269.0,243,41,404,10,45,e0
t244,270.0,244,35,948,30,25,e0
t245,270.0,245,33,280,10,29,e0
t246,273.0,246,33,299,10,99,e0
t247,275.0,247,77,960,20,69,e0
t248,277.0,248,46,718,10,97,e0
t249,278.0,249,18,841,40,88,e0
t250,278.0,250,91,971,30,92,e0
t251,279.0,251,12,618,40,40,e0
t252,279.0,252,76,998,40,26,e0
t253,280.0,253,70,448,30,41,e0
t254,283.0,254,45,324,30,30,e0
t255,284.0,255,63,900,40,89,e0
t256,284.0,256,47,519,20,61,e0
t257,286.0,257,40,661,10,52,e0
t258,288.0,258,98,683,30,85,e0
t259,289.0,259,34,265,40,98,e0
t260,289.0,260,86,825,40,39,e0
t261,289.0,261,89,652,40,50,e0
t262,292.0,262,23,278,30,81,e0
t263,292.0,263,61,339,40,77,e0
t264,292.0,264,61,283,40,33,e0
t265,292.0,265,83,912,10,29,e0
t266,293.0,266,37,339,10,35,e0
t267,293.0,267,15,935,20,73,e0
t268,294.0,268,94,587,20,87,e0
t269,295.0,269,33,431,30,36,e0
t270,295.0,270,79,934,20,49,e0
t271,297.0,271,37,692,40,60,e0
t272,298.0,272,90,145,20,75,e0
t273,300.0,273,22,649,10,33,e0
t274,300.0,274,17,982,10,22,e0
t275,301.0,275,18,737,10,97,e0
t276,301.0,276,100,603,40,68,e0
t277,301.0,277,84,422,40,20,e0
t278,301.0,278,40,147,30,99,e0
t279,303.0,279,56,921,20,81,e0
t280,304.0,280,36,474,10,52,e0
t281,304.0,281,35,967,10,37,e0
t282,304.0,282,41,208,40,44,e0
t283,305.0,283,79,938,10,47,e0
t284,309.0,284,79,251,20,76,e0
t285,310.0,285,43,450,20,64,e0
t286,315.0,286,78,967,30,100,e0
t287,316.0,287,83,372,20,84,e0
t288,316.0,288,21,143,30,87,e0
t289,317.0,289,72,775,10,60,e0
t290,319.0,290,67,439,20,34,e0
t291,320.0,291,45,682,40,50,e0
t292,320.0,292,77,291,20,70,e0
t293,321.0,293,49,673,10,32,e0
t294,322.0,294,77,256,20,78,e0
t295,324.0,295,21,336,30,79,e0
t296,324.0,296,87,525,10,27,e0
t297,324.0,297,59,907,30,36,e0
t298,327.0,298,73,420,40,26,e0
t299,327.0,299,30,373,30,31,e0
t300,330.0,300,38,860,10,64,e0
t301,330.0,301,87,641,10,81,e0
t302,331.0,302,94,183,10,43,e0
t303,331.0,303,94,597,20,85,e0
t304,333.0,304,78,370,20,46,e0
t305,333.0,305,72,220,20,33,e0
t306,336.0,306,47,312,20,27,e0
t307,339.0,307,33,561,10,45,e0
t308,340.0,308,43,928,10,24,e0
t309,341.0,309,68,560,10,47,e0
t310,341.0,310,83,547,40,67,e0
t311,341.0,311,27,749,30,48,e0
t312,341.0,312,50,712,10,23,e0
t313,342.0,313,74,978,10,59,e0
t314,342.0,314,15,949,10,59,e0
t315,345.0,315,78,986,40,65,e0
t316,347.0,316,60,466,40,51,e0
t317,348.0,317,81,151,40,81,e0
t318,350.0,318,24,356,20,80,e0
t319,350.0,319,25,575,40,46,e0
t320,351.0,320,35,446,40,57,e0
t321,354.0,321,31,414,20,85,e0
t322,354.0,322,64,362,10,64,e0
t323,355.0,323,11,427,20,82,e0
t324,355.0,324,70,836,20,72,e0
t325,357.0,325,71,221,20,49,e0
t326,358.0,326,78,583,20,48,e0
t327,360.0,327,39,527,40,28,e0
t328,360.0,328,70,518,30,94,e0
t329,361.0,329,31,628,30,94,e0
t330,361.0,330,76,896,10,63,e0
t331,362.0,331,74,211,30,93,e0
t332,362.0,332,48,475,20,93,e0
t333,363.0,333,44,655,20,25,e0
t334,363.0,334,19,844,30,21,e0
t335,365.0,335,16,980,20,32,e0
t336,365.0,336,59,214,30,73,e0
t337,365.0,337,38,580,10,36,e0
t338,365.0,338,59,278,30,61,e0
t339,366.0,339,50,190,40,29,e0
t340,366.0,340,63,318,10,75,e0
t341,366.0,341,79,282,20,29,e0
t342,367.0,342,82,138,30,33,e0
t343,367.0,343,83,470,20,91,e0
t344,367.0,344,62,834,20,43,e0
t345,369.0,345,87,193,40,40,e0
t346,370.0,346,81,868,40,51,e0
t347,371.0,347,48,751,40,38,e0
t348,373.0,348,22,294,40,65,e0
t349,373.0,349,30,178,10,31,e0
t350,378.0,350,53,928,30,60,e0
t351,378.0,351,94,317,10,36,e0
t352,382.0,352,84,318,30,37,e0
t353,382.0,353,83,939,30,48,e0
t354,383.0,354,55,608,40,78,e0
t355,385.0,355,23,883,10,80,e0
t356,385.0,356,12,745,10,62,e0
t357,388.0,357,97,448,40,35,e0
t358,388.0,358,96,953,40,80,e0
t359,389.0,359,69,492,10,33,e0
t360,390.0,360,73,875,20,77,e0
t361,393.0,361,62,101,40,63,e0
t362,393.0,362,99,954,40,75,e0
t363,394.0,363,48,986,40,54,e0
t364,397.0,364,44,976,30,30,e0
t365,397.0,365,25,839,30,25,e0
t366,399.0,366,76,608,10,93,e0
t367,400.0,367,20,124,10,83,e0
t368,400.0,368,34,298,40,81,e0
t369,400.0,369,51,217,40,89,e0
t370,401.0,370,54,122,30,29,e0
t371,404.0,371,52,485,30,39,e0
t372,404.0,372,70,907,10,64,e0
t373,405.0,373,33,742,30,82,e0
t374,407.0,374,53,838,20,78,e0
t375,407.0,375,20,897,20,46,e0
t376,410.0,376,32,857,10,59,e0
t377,410.0,377,19,499,10,29,e0
t378,413.0,378,73,732,10,66,e0
t379,413.0,379,79,354,20,65,e0
t380,413.0,380,16,983,10,100,e0
t381,416.0,381,79,492,20,53,e0
t382,416.0,382,86,582,10,64,e0
t383,420.0,383,31,664,30,97,e0
t384,422.0,384,95,535,40,56,e0
t385,423.0,385,91,880,10,31,e0
t386,423.0,386,52,403,20,72,e0
t387,423.0,387,98,309,10,52,e0
t388,425.0,388,68,641,40,26,e0
t389,426.0,389,74,822,10,76,e0
t390,429.0,390,64,778,30,43,e0
t391,429.0,391,83,884,30,33,e0
t392,430.0,392,62,551,40,54,e0
t393,432.0,393,81,316,20,89,e0
t394,434.0,394,72,642,20,65,e0
t395,436.0,395,12,790,10,52,e0
t396,438.0,396,36,856,10,25,e0
t397,439.0,397,39,900,40,63,e0
t398,439.0,398,68,100,40,43,e0
t399,440.0,399,22,454,20,99,e0
t400,441.0,400,99,823,10,55,e0
t401,441.0,401,22,268,30,28,e0
t402,441.0,402,48,405,40,29,e0
t403,442.0,403,34,623,30,40,e0
t404,443.0,404,11,280,20,96,e0
t405,446.0,405,19,440,30,87,e0
t406,447.0,406,53,756,30,52,e0
t407,447.0,407,68,604,40,78,e0
t408,449.0,408,97,521,10,62,e0
t409,450.0,409,68,192,20,29,e0
t410,452.0,410,51,538,20,63,e0
t411,452.0,411,45,368,40,67,e0
t412,453.0,412,10,723,30,48,e0
t413,455.0,413,100,187,20,48,e0
t414,456.0,414,68,655,20,81,e0
t415,458.0,415,65,844,30,46,e0
t416,458.0,416,76,167,40,97,e0
t417,458.0,417,18,310,20,51,e0
t418,459.0,418,74,443,30,61,e0
t419,460.0,419,30,119,10,64,e0
t420,460.0,420,30,560,10,96,e0
t421,460.0,421,59,263,30,79,e0
t422,461.0,422,35,746,40,75,e0
t423,462.0,423,40,747,10,78,e0
t424,464.0,424,46,878,30,94,e0
t425,465.0,425,18,316,30,90,e0
t426,465.0,426,94,946,30,59,e0
t427,465.0,427,17,440,20,51,e0
t428,466.0,428,14,129,30,36,e0
t429,467.0,429,57,428,30,54,e0
t430,468.0,430,73,301,40,79,e0
t431,468.0,431,35,666,40,29,e0
t432,470.0,432,59,174,30,58,e0
t433,471.0,433,76,800,40,58,e0
t434,471.0,434,97,907,30,76,e0
t435,472.0,435,90,693,20,78,e0
t436,475.0,436,64,476,10,67,e0
t437,476.0,437,38,120,10,92,e0
t438,476.0,438,48,121,40,59,e0
t439,477.0,439,73,742,10,84,e0
t440,478.0,440,60,892,40,70,e0
t441,481.0,441,19,564,20,87,e0
t442,482.0,442,58,285,30,23,e0
t443,485.0,443,61,753,30,60,e0
t444,485.0,444,10,480,10,29,e0
t445,488.0,445,73,400,40,61,e0
t446,488.0,446,37,892,10,35,e0
t447,488.0,447,37,575,10,84,e0
t448,491.0,448,75,385,30,55,e0
t449,493.0,449,70,352,20,30,e0
t450,494.0,450,15,984,40,75,e0
t451,495.0,451,47,250,40,80,e0
t452,498.0,452,60,673,20,71,e0
t453,498.0,453,68,975,10,61,e0
t454,499.0,454,72,953,10,50,e0
t455,499.0,455,73,855,40,42,e0
t456,499.0,456,51,324,40,69,e0
t457,499.0,457,40,257,30,43,e0
t458,501.0,458,76,201,20,60,e0
t459,502.0,459,44,867,40,97,e0
t460,503.0,460,38,685,20,93,e0
t461,503.0,461,92,749,20,91,e0
t462,505.0,462,76,907,30,93,e0
t463,506.0,463,91,619,10,83,e0
t464,506.0,464,28,351,40,65,e0
t465,508.0,465,54,594,40,58,e0
t466,509.0,466,28,862,40,89,e0
t467,510.0,467,96,771,30,69,e0
t468,511.0,468,34,521,10,27,e0
t469,514.0,469,99,309,30,97,e0
t470,514.0,470,39,832,30,72,e0
t471,514.0,471,65,199,30,85,e0
t472,516.0,472,92,980,30,95,e0
t473,516.0,473,25,963,30,40,e0
t474,516.0,474,63,550,10,24,e0
t475,518.0,475,72,317,10,68,e0
t476,520.0,476,92,514,10,99,e0
t477,520.0,477,54,952,40,24,e0
t478,521.0,478,92,311,20,84,e0
t479,521.0,479,98,170,40,69,e0
t480,521.0,480,31,253,20,22,e0
t481,522.0,481,74,287,20,98,e0
t482,524.0,482,20,375,30,88,e0
t483,526.0,483,77,314,30,74,e0
t484,531.0,484,46,790,30,73,e0
t485,532.0,485,92,357,40,88,e0
t486,532.0,486,58,889,40,61,e0
t487,532.0,487,32,391,20,70,e0
t488,533.0,488,32,569,20,40,e0
t489,534.0,489,30,147,10,66,e0
t490,537.0,490,58,822,40,30,e0
t491,537.0,491,86,197,10,92,e0
t492,542.0,492,28,775,30,50,e0
t493,545.0,493,34,358,10,39,e0
t494,546.0,494,70,377,40,46,e0
t495,553.0,495,59,335,10,54,e0
t496,555.0,496,69,519,20,42,e0
t497,560.0,497,71,199,40,71,e0
t498,560.0,498,36,984,10,73,e0
t499,561.0,499,47,971,40,61,e0
t500,562.0,500,18,346,30,99,e0
t501,564.0,501,92,202,20,72,e0
t502,564.0,502,47,359,30,98,e0
t503,565.0,503,52,911,40,41,e0
t504,568.0,504,31,453,40,64,e0
t505,568.0,505,30,602,10,50,e0
t506,570.0,506,40,963,30,38,e0
t507,570.0,507,15,713,10,50,e0
t508,571.0,508,66,494,20,55,e0
t509,572.0,509,77,305,20,100,e0
t510,573.0,510,43,996,10,80,e0
t511,573.0,511,54,939,10,84,e0
t512,574.0,512,28,275,20,62,e0
t513,574.0,513,69,948,20,55,e0
t514,574.0,514,36,575,20,82,e0
t515,574.0,515,26,872,10,39,e0
t516,575.0,516,34,225,10,49,e0
t517,576.0,517,73,878,20,38,e0
t518,576.0,518,73,433,40,75,e0
t519,578.0,519,36,332,10,43,e0
t520,580.0,520,59,296,10,81,e0
t521,582.0,521,12,204,30,86,e0
t522,583.0,522,94,175,10,71,e0
t523,583.0,523,24,829,40,95,e0
t524,583.0,524,47,450,30,44,e0
t525,586.0,525,24,311,20,74,e0
t526,587.0,526,13,924,20,34,e0
t527,588.0,527,20,358,20,83,e0
t528,589.0,528,31,770,40,62,e0
t529,589.0,529,95,318,30,89,e0
t530,591.0,530,76,661,30,82,e0
t531,593.0,531,44,840,10,73,e0
t532,594.0,532,48,829,30,29,e0
t533,596.0,533,52,110,30,91,e0
t534,597.0,534,75,666,20,23,e0
t535,599.0,535,86,642,10,68,e0
t536,599.0,536,57,143,20,93,e0
t537,600.0,537,46,788,20,57,e0
t538,601.0,538,40,207,10,83,e0
t539,602.0,539,54,915,10,71,e0
t540,604.0,540,13,553,30,62,e0
t541,605.0,541,74,922,20,27,e0
t542,605.0,542,98,957,40,78,e0
t543,606.0,543,50,592,10,68,e0
t544,607.0,544,60,720,30,97,e0
t545,608.0,545,75,797,10,48,e0
t546,608.0,546,50,994,20,71,e0
t547,610.0,547,34,235,40,24,e0
t548,610.0,548,79,188,10,46,e0
t549,611.0,549,47,960,40,85,e0
t550,613.0,550,18,372,20,49,e0
t551,615.0,551,97,543,30,31,e0
t552,615.0,552,66,727,40,21,e0
t553,616.0,553,67,712,20,99,e0
t554,618.0,554,31,870,10,56,e0
t555,619.0,555,47,191,20,67,e0
t556,620.0,556,100,589,40,45,e0
t557,620.0,557,32,912,10,93,e0
t558,621.0,558,44,435,40,75,e0
t559,622.0,559,10,279,10,36,e0
t560,622.0,560,61,598,40,35,e0
t561,624.0,561,26,999,20,87,e0
t562,624.0,562,66,429,30,35,e0
t563,626.0,563,70,998,30,86,e0
t564,627.0,564,83,833,30,64,e0
t565,628.0,565,97,849,20,48,e0
t566,629.0,566,79,328,40,39,e0
t567,629.0,567,22,435,30,59,e0
t568,630.0,568,32,726,40,38,e0
t569,631.0,569,33,136,10,86,e0
t570,631.0,570,10,352,10,39,e0
t571,631.0,571,70,180,10,24,e0
t572,633.0,572,44,226,30,94,e0
t573,634.0,573,64,155,40,89,e0
t574,635.0,574,72,415,10,21,e0
t575,635.0,575,87,904,20,34,e0
t576,637.0,576,16,832,30,64,e0
t577,637.0,577,49,414,40,37,e0
t578,637.0,578,17,408,40,40,e0
t579,637.0,579,37,762,20,60,e0
t580,639.0,580,30,591,30,83,e0
t581,639.0,581,47,274,30,91,e0
t582,639.0,582,54,581,10,96,e0
t583,640.0,583,39,760,10,70,e0
t584,641.0,584,85,444,30,93,e0
t585,641.0,585,69,510,40,43,e0
t586,643.0,586,85,327,30,77,e0
t587,644.0,587,32,787,40,89,e0
t588,645.0,588,80,222,30,82,e0
t589,649.0,589,69,909,40,26,e0
t590,649.0,590,80,950,20,59,e0
t591,652.0,591,64,314,10,87,e0
t592,654.0,592,90,546,40,95,e0
t593,655.0,593,96,327,10,25,e0
t594,655.0,594,43,721,10,25,e0
t595,658.0,595,63,742,10,52,e0
t596,658.0,596,69,470,30,85,e0
t597,660.0,597,78,848,30,81,e0
t598,661.0,598,43,457,20,37,e0
t599,661.0,599,49,866,10,97,e0
t600,662.0,600,50,816,40,60,e0
t601,663.0,601,23,173,40,27,e0
t602,665.0,602,24,648,30,55,e0
t603,665.0,603,57,440,10,90,e0
t604,665.0,604,37,505,30,81,e0
t605,665.0,605,24,148,30,39,e0
t606,666.0,606,16,167,10,47,e0
t607,667.0,607,52,774,40,25,e0
t608,667.0,608,16,852,30,53,e0
t609,667.0,609,12,681,30,63,e0
t610,669.0,610,44,356,40,88,e0
t611,672.0,611,42,386,40,30,e0
t612,674.0,612,82,886,40,90,e0
t613,675.0,613,98,365,40,88,e0
t614,675.0,614,35,910,40,40,e0
t615,677.0,615,79,148,20,58,e0
t616,677.0,616,84,128,10,36,e0
t617,679.0,617,15,329,10,44,e0
t618,680.0,618,40,311,20,90,e0
t619,680.0,619,31,766,40,96,e0
t620,682.0,620,89,848,20,86,e0
t621,683.0,621,98,717,20,94,e0
t622,683.0,622,49,325,10,29,e0
t623,683.0,623,58,320,10,46,e0
t624,684.0,624,14,779,30,86,e0
t625,684.0,625,26,670,20,96,e0
t626,685.0,626,13,918,40,43,e0
t627,685.0,627,91,322,20,22,e0
t628,687.0,628,53,764,40,40,e0
t629,687.0,629,19,711,10,56,e0
t630,687.0,630,98,499,20,60,e0
t631,688.0,631,87,722,40,66,e0
t632,688.0,632,10,290,30,78,e0
t633,689.0,633,86,431,20,92,e0
t634,689.0,634,63,398,20,57,e0
t635,693.0,635,36,549,40,51,e0
t636,694.0,636,94,597,10,72,e0
t637,694.0,637,47,399,20,82,e0
t638,698.0,638,17,748,10,25,e0
t639,699.0,639,99,879,40,65,e0
t640,703.0,640,18,193,40,48,e0
t641,703.0,641,54,109,30,54,e0
t642,705.0,642,69,431,30,80,e0
t643,706.0,643,59,320,20,31,e0
t644,706.0,644,60,382,10,56,e0
t645,708.0,645,77,178,20,69,e0
t646,709.0,646,79,501,10,39,e0
t647,710.0,647,18,420,20,86,e0
t648,710.0,648,20,775,30,82,e0
t649,712.0,649,39,869,40,53,e0
t650,713.0,650,59,831,10,45,e0
t651,713.0,651,35,694,30,58,e0
t652,714.0,652,34,336,20,26,e0
t653,715.0,653,22,197,10,96,e0
t654,715.0,654,78,332,40,91,e0
t655,716.0,655,67,663,30,39,e0
t656,716.0,656,87,356,10,65,e0
t657,718.0,657,45,407,10,74,e0
t658,721.0,658,16,217,30,72,e0
t659,723.0,659,36,370,40,72,e0
t660,724.0,660,45,290,20,20,e0
t661,724.0,661,44,165,40,75,e0
t662,724.0,662,82,137,20,82,e0
t663,724.0,663,85,209,30,30,e0
t664,726.0,664,95,896,10,78,e0
t665,727.0,665,39,900,40,72,e0
t666,728.0,666,56,429,10,22,e0
t667,728.0,667,53,689,40,90,e0
t668,728.0,668,31,618,40,36,e0
t669,729.0,669,19,418,40,22,e0
t670,729.0,670,40,390,20,28,e0
t671,730.0,671,41,810,10,51,e0
t672,731.0,672,29,381,30,94,e0
t673,732.0,673,33,364,20,92,e0
t674,734.0,674,35,243,10,100,e0
t675,734.0,675,53,413,30,50,e0
t676,734.0,676,29,118,40,96,e0
t677,736.0,677,65,964,10,88,e0
t678,737.0,678,94,611,40,44,e0
t679,737.0,679,96,599,10,66,e0
t680,737.0,680,90,773,30,44,e0
t681,739.0,681,51,223,10,53,e0
t682,740.0,682,87,252,20,24,e0
t683,740.0,683,87,794,40,27,e0
t684,742.0,684,65,135,40,40,e0
t685,743.0,685,88,744,40,25,e0
t686,743.0,686,33,813,20,73,e0
t687,744.0,687,11,125,30,90,e0
t688,745.0,688,90,336,20,25,e0
t689,746.0,689,83,632,20,28,e0
t690,746.0,690,43,244,30,36,e0
t691,748.0,691,57,157,20,52,e0
t692,749.0,692,43,366,20,95,e0
t693,750.0,693,44,425,10,98,e0
t694,751.0,694,95,249,40,74,e0
